VBA Project,GUID,Friendly name
DMC_O365SecComp,9dbcbc97-3800-43ab-9c24-0516f9d6352f,obsolete-configure-permissions-on-the-sharepoint-online-bdc-metadata-store
DMC_O365SecComp,3fe91abc-6eb8-48f0-8613-051cf6bdd6e5,remove-an-administrator-from-a-user-profile-service-application
DMC_O365SecComp,cfc5a00e-14f1-4567-8e66-054785e2b3de,view-skype-for-business-online-user-settings
DMC_O365SecComp,b034f20b-a7db-4183-83ff-054a523efc9e,office-365-admin-center
DMC_O365SecComp,9e952b26-fb0e-48a5-89b1-054f54f9b986,visio-services-overview
DMC_O365SecComp,65196b80-bbb6-42b6-b920-058349963c37,change-nameservers-at-register-com
DMC_O365SecComp,e434a01f-223c-4041-80e9-0591278a3db6,test-lab-guide-configure-the-visio-services-unattended-service-account
DMC_O365SecComp,46c667f7-5073-47b9-a75f-05a60cf77d91,common-management-tasks
DMC_O365SecComp,9eaba596-a4d6-40e9-b827-05d1cadd6ebd,glossary-for-hybrid
DMC_O365SecComp,5020140d-24c4-4817-8bb4-05e1c225d1f2,deployment-considerations-for-implementing-microsoft-identity-manager-with-share
DMC_O365SecComp,7eea752e-5bdc-48b1-99cb-05e6c3669c4a,enable-trusted-locations-for-performancepoint-services
DMC_O365SecComp,90958cf4-65e8-4b72-a54d-05f0fbc302a8,sharepoint-migration-identity-mapping-tool-azure-active-directory-identity-scan
DMC_O365SecComp,52704a0d-d95f-4553-a98b-05f8db9bb0c8,overview-use-a-site-mailbox-to-collaborate-with-your-team
DMC_O365SecComp,0202f3b1-0680-4d79-bffd-05f8f9cb248e,add-more-people
DMC_O365SecComp,85199c8a-7650-45dc-92bd-0611b5e73595,apply-for-tax-exempt-status
DMC_O365SecComp,2ea4459b-cb13-4ce2-b9d1-0619316df88c,get-started-with-dlp-policy-recommendations
DMC_O365SecComp,44431904-1cfd-4d16-8997-061b1ddd3518,create-and-assemble-a-dashboard-page
DMC_O365SecComp,5c23f9ea-d019-4750-abdf-0633bffa84f4,configure-sharepoint-server-2013-in-a-three-tier-farm
DMC_O365SecComp,d487fc56-0185-402c-a5cc-06684e2e81ed,move-the-state-service-service-application-databases
DMC_O365SecComp,a02091fd-e83f-47cf-8466-067b8b920aee,create-and-configure-a-kpi
DMC_O365SecComp,ec3a8cb2-141f-4c4b-a3c3-068ea89121cf,the-unattended-service-account-application-id-is-not-specified-or-has-an-invalid
DMC_O365SecComp,76dce3f0-4039-4003-81cd-0699e4bf35fa,visio-graphics-service-global-settings-configuration
DMC_O365SecComp,d24bb387-c65d-486e-93e7-06a4f1a436c0,anti-spoofing-protection
DMC_O365SecComp,70ec7a6f-7407-4746-b03b-06b79819c72d,set-up-and-configuration
DMC_O365SecComp,0ad41414-0cc6-4b97-90fb-06bec7bcf590,allow-members-to-send-as-or-send-on-behalf-of-an-office-365-groupadmin-help
DMC_O365SecComp,dad9b2ca-d8c0-4685-8d9e-06c008939c73,share-documents-by-using-a-mobile-device
DMC_O365SecComp,728143ab-23ce-485e-bc5c-06cda38f5c62,upgrade-content-databases-from-sharepoint-2010-to-sharepoint-2013
DMC_O365SecComp,da1ff375-f88f-4a3e-b81f-06cdb6ecae3c,fix-email-delivery-issues-for-error-code-550-5-7-1-in-office-365
DMC_O365SecComp,45acdd33-b322-4f36-97f1-0701159e15f0,back-up-site-collections
DMC_O365SecComp,29f32182-f103-4a6d-8c9b-07052832eb8d,enable-or-disable-one-time-passcode
DMC_O365SecComp,479677a6-8b33-4ac7-907d-071c1c7e4518,enable-publishing-features
