Error Type,Topic Guid,Message
Warning,39e4654a-9588-41f6-892b-c33ab57bfbe2,Could not Add new line after images in md file:39e4654a-9588-41f6-892b-c33ab57bfbe2.md
Warning,3a137e28-1174-42d5-99af-f18868b43e86,Found a an ul list inside a table in html file:3a137e28-1174-42d5-99af-f18868b43e86.xml
Warning,3bdb5c4e-94fc-4741-b02f-4e7cc3c54aa1,Found a an ul list inside a table in html file:3bdb5c4e-94fc-4741-b02f-4e7cc3c54aa1.xml
Warning,3bdb5c4e-94fc-4741-b02f-4e7cc3c54aa1,Found nested table in md file:3bdb5c4e-94fc-4741-b02f-4e7cc3c54aa1.md
Warning,3bdb5c4e-94fc-4741-b02f-4e7cc3c54aa1,Fixing missing end table tag in file:3bdb5c4e-94fc-4741-b02f-4e7cc3c54aa1.md
Warning,3bdb5c4e-94fc-4741-b02f-4e7cc3c54aa1,Found invalid tables saving file:3bdb5c4e-94fc-4741-b02f-4e7cc3c54aa1.md
Warning,3f7dde1a-a8ea-4366-86da-8ee6777f357c,Found nested table in md file:3f7dde1a-a8ea-4366-86da-8ee6777f357c.md
Warning,3f7dde1a-a8ea-4366-86da-8ee6777f357c,Could not Add new line after images in md file:3f7dde1a-a8ea-4366-86da-8ee6777f357c.md
Warning,40829b57-793c-4d41-b171-e9270129173d,Found a an ul list inside a table in html file:40829b57-793c-4d41-b171-e9270129173d.xml
Warning,40829b57-793c-4d41-b171-e9270129173d,Missing tables headers in file:40829b57-793c-4d41-b171-e9270129173d.md
Warning,40829b57-793c-4d41-b171-e9270129173d,Found nested table in md file:40829b57-793c-4d41-b171-e9270129173d.md
Warning,40829b57-793c-4d41-b171-e9270129173d,Fixing missing end table tag in file:40829b57-793c-4d41-b171-e9270129173d.md
Warning,40829b57-793c-4d41-b171-e9270129173d,Fixing missing end table tag in file:40829b57-793c-4d41-b171-e9270129173d.md
Warning,40829b57-793c-4d41-b171-e9270129173d,Fixing missing end table tag in file:40829b57-793c-4d41-b171-e9270129173d.md
Warning,40829b57-793c-4d41-b171-e9270129173d,Fixing missing end table tag in file:40829b57-793c-4d41-b171-e9270129173d.md
Warning,40829b57-793c-4d41-b171-e9270129173d,Fixing missing end table tag in file:40829b57-793c-4d41-b171-e9270129173d.md
Warning,40829b57-793c-4d41-b171-e9270129173d,Found invalid tables saving file:40829b57-793c-4d41-b171-e9270129173d.md
Warning,40829b57-793c-4d41-b171-e9270129173d,Could not Add new line after images in md file:40829b57-793c-4d41-b171-e9270129173d.md
Warning,422858ff-917b-46d4-9e5b-3397f60eee4d,Found nested table in md file:422858ff-917b-46d4-9e5b-3397f60eee4d.md
Warning,4250c4bc-6102-420b-9e0a-a95064837676,Found a an dl list inside a table in html file:4250c4bc-6102-420b-9e0a-a95064837676.xml
Error,4250c4bc-6102-420b-9e0a-a95064837676,Checking for list in tables in file:4250c4bc-6102-420b-9e0a-a95064837676.xml message:System.Collections.ArrayList
Warning,429e686f-d8a6-455e-a2b6-3791d763f000,Missing tables headers in file:429e686f-d8a6-455e-a2b6-3791d763f000.md
Warning,429e686f-d8a6-455e-a2b6-3791d763f000,Fixing missing end table tag in file:429e686f-d8a6-455e-a2b6-3791d763f000.md
Warning,429e686f-d8a6-455e-a2b6-3791d763f000,Fixing missing end table tag in file:429e686f-d8a6-455e-a2b6-3791d763f000.md
Warning,429e686f-d8a6-455e-a2b6-3791d763f000,Fixing missing end table tag in file:429e686f-d8a6-455e-a2b6-3791d763f000.md
Warning,429e686f-d8a6-455e-a2b6-3791d763f000,Fixing missing end table tag in file:429e686f-d8a6-455e-a2b6-3791d763f000.md
Warning,429e686f-d8a6-455e-a2b6-3791d763f000,Fixing missing end table tag in file:429e686f-d8a6-455e-a2b6-3791d763f000.md
Warning,429e686f-d8a6-455e-a2b6-3791d763f000,Fixing missing end table tag in file:429e686f-d8a6-455e-a2b6-3791d763f000.md
Warning,429e686f-d8a6-455e-a2b6-3791d763f000,Fixing missing end table tag in file:429e686f-d8a6-455e-a2b6-3791d763f000.md
Warning,429e686f-d8a6-455e-a2b6-3791d763f000,Fixing missing end table tag in file:429e686f-d8a6-455e-a2b6-3791d763f000.md
Warning,429e686f-d8a6-455e-a2b6-3791d763f000,Found invalid tables saving file:429e686f-d8a6-455e-a2b6-3791d763f000.md
Warning,429e686f-d8a6-455e-a2b6-3791d763f000,Could not Add new line after images in md file:429e686f-d8a6-455e-a2b6-3791d763f000.md
Warning,44055727-56e8-42d7-9dc3-fb942f3901cc,Missing tables headers in file:44055727-56e8-42d7-9dc3-fb942f3901cc.md
Warning,47e8b964-4b09-44f7-a2d7-b8a06e8e389c,Found a an ul list inside a table in html file:47e8b964-4b09-44f7-a2d7-b8a06e8e389c.xml
Warning,4e8ff113-6361-41e2-915a-6338a7e2a1ed,Found nested table in md file:4e8ff113-6361-41e2-915a-6338a7e2a1ed.md
Warning,50580099-3dc0-44a1-a9b6-5ca6d396316b,Could not Add new line after images in md file:50580099-3dc0-44a1-a9b6-5ca6d396316b.md
Warning,53390468-eec6-45cb-b6cd-7511f9c909e4,Could not Add new line after images in md file:53390468-eec6-45cb-b6cd-7511f9c909e4.md
Warning,55f31488-288a-473a-9b9e-831a11e3711a,Could not Add new line after images in md file:55f31488-288a-473a-9b9e-831a11e3711a.md
Warning,57ca5138-0ae0-4d34-bd40-240441ef2fb6,Found a an ul list inside a table in html file:57ca5138-0ae0-4d34-bd40-240441ef2fb6.xml
